food_id,name_ko,category,subcategory,serving_size_g,carbs_g,fiber_g,avail_carb_g,gi,gi_source,gi_confidence,gi_ref,gi_note,gl_per_serving
DF-0052,프로틴 바,diet_fitness,보충제,60,22.0,3.0,19.0,55,db_estimated,low,estimate: protein/energy bar 30-60 중앙(Atkinson2008),※ 제품별 편차 매우 큼,10.4
DF-0054,프로틴 쿠키,diet_fitness,보충제,75,28.0,2.0,26.0,55,db_estimated,low,estimate: 밀/귀리 + 감미료,※ 제품별 편차 큼,14.3
DF-0070,그릭 요거트 (무지방),diet_fitness,유제품,150,6.0,0.0,6.0,25,db_estimated,low,"estimate: Atkinson2008 yoghurt, plain/low-fat 14-36 중앙",※ 그릭요거트 직접 측정치 미확보,1.5
DF-0071,그릭 요거트 (일반),diet_fitness,유제품,150,8.0,0.0,8.0,25,db_estimated,low,"estimate: Atkinson2008 yoghurt, plain 14-36 중앙",※ 직접 측정치 미확보,2.0
DF-0073,무지방 우유,diet_fitness,유제품,200,10.0,0.0,10.0,37,db_measured,high,"Atkinson2008 milk, skim 37",,3.7
DF-0074,두유 (무가당),diet_fitness,유제품,200,4.0,0.5,3.5,34,db_measured,med,"Atkinson2008 soy milk, unsweetened 34",,1.2
DF-0080,무가당 요거트 + 과일,diet_fitness,유제품,200,18.0,1.5,16.5,40,db_estimated,low,"estimate: 요거트25 + 과일(35-55, Atkinson2008)",직접 측정치 없음,6.6
DF-0081,프로틴 오트밀,diet_fitness,탄수화물,250,35.0,4.0,31.0,50,db_estimated,low,estimate: 오트밀55(Atkinson2008) + 단백질 파우더(GI 하향),직접 측정치 없음,15.5
DF-0082,치아시드 푸딩,diet_fitness,간식,200,22.0,10.0,12.0,30,db_estimated,low,estimate: 치아시드(저GI/고섬유) + 우유/감미료,직접 측정치 없음,3.6
DF-0105,곡물 샐러드보울,diet_fitness,샐러드,350,48.0,6.0,42.0,55,db_estimated,low,estimate: 퀴노아53(Atkinson2008) / 현미68 + 채소,구성 가변,23.1
DF-0110,포케보울,diet_fitness,샐러드,400,50.0,4.0,46.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 생선/채소,직접 측정치 없음,31.3
DF-0111,닭가슴살 랩,diet_fitness,샐러드,250,25.0,3.0,22.0,60,db_estimated,low,estimate: 또띠아 45-60(Atkinson2008) + 닭가슴살,직접 측정치 없음,13.2
DF-0130,고구마 (찐 것),diet_fitness,탄수화물,150,32.0,3.5,28.5,61,db_measured,med,Atkinson2008 sweet potato 61 (44-94); LimBJN2019 조리법별 상이,찐 고구마 기준; 품종·조리 편차 큼,17.4
DF-0131,오트밀 (조리 후),diet_fitness,탄수화물,200,25.0,3.0,22.0,55,db_measured,high,"Atkinson2008 porridge, rolled oats 55",,12.1
DF-0132,통밀빵 (1장),diet_fitness,탄수화물,40,14.0,2.0,12.0,74,db_measured,high,Atkinson2008,Whole wheat / wholemeal wheat bread — 평균 74,8.9
DF-0133,귀리밥,diet_fitness,탄수화물,210,58.0,5.0,53.0,55,db_estimated,low,estimate: 통귀리 55(SydneyGI whole oat kernels),귀리밥 직접 측정치 없음,29.1
DF-0134,곤약밥,diet_fitness,탄수화물,200,12.0,3.0,9.0,50,db_estimated,low,estimate: 백미70(LimBJN2019) + 곤약(GI≈0) 희석,곤약 배합비 미상,4.5
DF-0135,바나나 (1개),diet_fitness,과일,120,27.0,3.1,23.9,51,db_measured,high,"Atkinson2008 banana, ripe 51",,12.2
DF-0136,사과 (1개),diet_fitness,과일,180,25.0,4.4,20.6,36,db_measured,high,Atkinson2008 apple 36,,7.4
DF-0137,블루베리,diet_fitness,과일,100,14.0,2.4,11.6,53,db_measured,low,Atkinson2008 blueberry 53,※ 국제표 내 데이터 희소 — 근거 약함,6.1
DF-0139,견과류 믹스,diet_fitness,간식,30,6.0,2.0,4.0,20,db_estimated,low,"estimate: 견과류(아몬드/캐슈 15-25, Atkinson2008)",견과 혼합비 미상,0.8
DF-0140,단호박 (찐 것),diet_fitness,탄수화물,150,20.0,3.0,17.0,55,db_estimated,low,LimBJN2019 찐 단호박 = low GI(≤55) vs Atkinson2008 pumpkin 64,※ 국내/국제 출처 충돌 — 국내 in-vivo 값 채택,9.3
DF-0141,삶은 옥수수 (1개),diet_fitness,탄수화물,150,27.0,3.0,24.0,52,db_measured,high,Atkinson2008 sweet corn 52,,12.5
DF-0142,퀴노아,diet_fitness,탄수화물,150,30.0,3.5,26.5,53,db_measured,med,Atkinson2008,"Quinoa, boiled 53",14.0
DF-0143,통밀 또띠아 (1장),diet_fitness,탄수화물,45,20.0,2.5,17.5,45,db_estimated,low,estimate: 통밀 또띠아(Atkinson2008 wheat tortilla 30 / wholemeal 45-52),제품별 편차 큼,7.9
DF-0162,두부 (반모),diet_fitness,식물성단백,150,3.0,0.5,2.5,15,db_estimated,low,"estimate: 대두(soybeans 18, Atkinson2008) 프록시",※ 두부 직접 GI 측정치 없음. 가용탄수 2.5g → GL < 0.5로 영향 미미,0.4
DF-0180,아몬드 (20알),diet_fitness,간식,25,5.0,3.0,2.0,15,db_measured,med,Atkinson2008 almonds 15 (0-15),,0.3
DF-0182,다크초콜릿 (1조각),diet_fitness,간식,15,7.0,1.5,5.5,35,db_measured,low,"Atkinson2008 chocolate, dark 23-45",카카오 함량별 편차,1.9
DF-0190,닭가슴살 도시락,diet_fitness,도시락,350,50.0,3.0,47.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배,구성 가변,32.0
DF-0191,연어 도시락,diet_fitness,도시락,350,52.0,3.0,49.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배,구성 가변,33.3
DF-0192,곤약면 비빔면,diet_fitness,면류,200,12.0,3.0,9.0,35,db_estimated,low,estimate: 곤약면(GI≈0) + 양념(설탕),탄수 대부분 양념 유래,3.1
DF-0193,곤약 떡볶이,diet_fitness,면류,250,20.0,4.0,16.0,50,db_estimated,low,estimate: 곤약떡(저GI) + 고추장양념(설탕),직접 측정치 없음,8.0
FC-0001,빅맥,franchise,버거,200,45.0,3.0,42.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 패티/소스,직접 측정치 없음,27.7
FC-0002,맥너겟 (6조각),franchise,사이드,100,16.0,1.0,15.0,46,db_measured,med,Atkinson2008 chicken nuggets 46,,6.9
FC-0003,1955 버거,franchise,버거,250,45.0,2.0,43.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 패티,직접 측정치 없음,28.4
FC-0004,맥스파이시 상하이 버거,franchise,버거,220,48.0,2.5,45.5,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 치킨패티,직접 측정치 없음,30.0
FC-0010,싸이버거,franchise,버거,250,48.0,2.0,46.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 치킨패티,직접 측정치 없음,30.4
FC-0011,불싸이버거,franchise,버거,260,50.0,2.0,48.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 매운소스(설탕),직접 측정치 없음,31.7
FC-0012,와퍼,franchise,버거,290,49.0,2.0,47.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 패티,직접 측정치 없음,31.0
FC-0013,치킨 킹,franchise,버거,230,48.0,2.0,46.0,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 치킨패티,직접 측정치 없음,30.4
FC-0015,불고기버거,franchise,버거,180,42.0,1.5,40.5,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 불고기소스(설탕),직접 측정치 없음,26.7
FC-0016,새우버거,franchise,버거,190,48.0,1.5,46.5,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 새우패티,직접 측정치 없음,30.7
FC-0020,터키 브레스트 (15cm),franchise,샌드위치,210,42.0,3.0,39.0,60,db_estimated,low,"estimate: 서브 번(빵류 65-75, Atkinson2008) + 육류(단백질 희석)",직접 측정치 없음,23.4
FC-0021,로스트 치킨 (15cm),franchise,샌드위치,230,42.0,3.0,39.0,60,db_estimated,low,estimate: 서브 번 + 치킨,직접 측정치 없음,23.4
FC-0022,BLT (15cm),franchise,샌드위치,200,42.0,3.0,39.0,60,db_estimated,low,estimate: 서브 번 + 베이컨,직접 측정치 없음,23.4
FC-0023,에그마요 (15cm),franchise,샌드위치,220,44.0,3.0,41.0,60,db_estimated,low,estimate: 서브 번 + 에그마요,직접 측정치 없음,24.6
FC-0040,후라이드 치킨 (1조각),franchise,치킨,120,10.0,0.5,9.5,60,db_estimated,low,estimate: 탄수 = 밀/전분 튀김옷,※ 가용탄수 9.5g → GL 낮음,5.7
FC-0041,양념 치킨 (1조각),franchise,치킨,130,16.0,0.5,15.5,65,db_estimated,low,estimate: 튀김옷 + 양념(물엿/설탕),직접 측정치 없음,10.1
FC-0042,교촌 오리지널 (1조각),franchise,치킨,120,12.0,0.5,11.5,60,db_estimated,low,estimate: 튀김옷 + 간장소스,직접 측정치 없음,6.9
FC-0043,교촌 허니콤보 (1조각),franchise,치킨,130,18.0,0.5,17.5,68,db_estimated,low,estimate: 튀김옷 + 꿀/물엿(고GI),직접 측정치 없음,11.9
FC-0044,BBQ 황금올리브 (1조각),franchise,치킨,120,10.0,0.5,9.5,60,db_estimated,low,estimate: 탄수 = 튀김옷,※ 가용탄수 9.5g,5.7
FC-0050,KFC 오리지널 (1조각),franchise,치킨,130,12.0,0.5,11.5,60,db_estimated,low,estimate: 탄수 = 튀김옷,직접 측정치 없음,6.9
FC-0051,KFC 핫크리스피 (1조각),franchise,치킨,130,15.0,0.5,14.5,60,db_estimated,low,estimate: 탄수 = 튀김옷,직접 측정치 없음,8.7
FC-0070,편의점 도시락 (일반),franchise,도시락,350,72.0,2.0,70.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배,도시락 구성 가변,49.0
FC-0071,편의점 삼각김밥,franchise,도시락,110,32.0,0.5,31.5,72,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 김/식초 소량,직접 측정치 없음,22.7
FC-0072,편의점 컵라면,franchise,면류,65,40.0,1.0,39.0,56,db_estimated,low,estimate: 라면56(LimBJN2019),컵라면 유탕면,21.8
FC-0073,편의점 샌드위치,franchise,샌드위치,150,28.0,1.5,26.5,65,db_estimated,low,estimate: 흰 식빵75(Atkinson2008) + 속재료 희석,직접 측정치 없음,17.2
FC-0081,카페라떼 (톨),franchise,커피,355,15.0,0.0,15.0,35,db_estimated,low,estimate: 우유 유당 37(Atkinson2008 skim milk),탄수 = 우유 유당,5.2
FC-0082,카라멜 마끼아또 (톨),franchise,커피,355,35.0,0.0,35.0,60,db_estimated,low,estimate: 우유37(Atkinson2008) + 카라멜시럽(sucrose 65),직접 측정치 없음,21.0
